production_kw,q10,q25,q50,q75,q90,energy_kwh,energy_q10_kwh,energy_q25_kwh,energy_q50_kwh,energy_q75_kwh,energy_q90_kwh,forecast_timestamp,resolution_minutes,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24 13:47:17.372216+00:00,15,2025-10-24 23:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24 13:47:17.372216+00:00,15,2025-10-24 23:15:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24 13:47:17.372216+00:00,15,2025-10-24 23:30:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24 13:47:17.372216+00:00,15,2025-10-24 23:45:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24 13:47:17.372216+00:00,15,2025-10-25 00:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24 13:47:17.372216+00:00,15,2025-10-25 00:15:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24 13:47:17.372216+00:00,15,2025-10-25 00:30:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24 13:47:17.372216+00:00,15,2025-10-25 00:45:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24 13:47:17.372216+00:00,15,2025-10-25 01:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24 13:47:17.372216+00:00,15,2025-10-25 01:15:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24 13:47:17.372216+00:00,15,2025-10-25 01:30:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24 13:47:17.372216+00:00,15,2025-10-25 01:45:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24 13:47:17.372216+00:00,15,2025-10-25 02:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24 13:47:17.372216+00:00,15,2025-10-25 02:15:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24 13:47:17.372216+00:00,15,2025-10-25 02:30:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24 13:47:17.372216+00:00,15,2025-10-25 02:45:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24 13:47:17.372216+00:00,15,2025-10-25 03:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24 13:47:17.372216+00:00,15,2025-10-25 03:15:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24 13:47:17.372216+00:00,15,2025-10-25 03:30:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24 13:47:17.372216+00:00,15,2025-10-25 03:45:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24 13:47:17.372216+00:00,15,2025-10-25 04:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24 13:47:17.372216+00:00,15,2025-10-25 04:15:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24 13:47:17.372216+00:00,15,2025-10-25 04:30:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24 13:47:17.372216+00:00,15,2025-10-25 04:45:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-24 13:47:17.372216+00:00,15,2025-10-25 05:00:00
