timestamp,YEAR,MONTH,DAY,HOUR_START,HOUR_END,DAY_END,interval,power_kw,energy_kwh,q10,q25,q50,q75,q90
2025-10-24 23:00:00,2025,10,24,23,0,25,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25 00:00:00,2025,10,25,0,1,25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25 01:00:00,2025,10,25,1,2,25,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25 02:00:00,2025,10,25,2,3,25,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25 03:00:00,2025,10,25,3,4,25,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25 04:00:00,2025,10,25,4,5,25,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25 05:00:00,2025,10,25,5,6,25,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25 06:00:00,2025,10,25,6,7,25,7,10.758696,10.758696,9.54386,10.151278,10.758696,11.366114,11.973532
2025-10-25 07:00:00,2025,10,25,7,8,25,8,205.583316,205.583316,182.104845,193.844081,205.583316,217.322552,229.061788
2025-10-25 08:00:00,2025,10,25,8,9,25,9,924.685992,924.685992,817.663276,871.174634,924.685992,978.197351,1031.708709
2025-10-25 09:00:00,2025,10,25,9,10,25,10,1337.793744,1337.793744,1005.450137,1171.62194,1337.793744,1503.965548,1670.137351
2025-10-25 10:00:00,2025,10,25,10,11,25,11,871.525804,871.525804,619.1746,745.350202,871.525804,997.701406,1123.877008
2025-10-25 11:00:00,2025,10,25,11,12,25,12,713.597803,713.597803,500.626545,607.112174,713.597803,820.083431,926.56906
2025-10-25 12:00:00,2025,10,25,12,13,25,13,886.538045,886.538045,657.154464,771.846254,886.538045,1001.229835,1115.921625
2025-10-25 13:00:00,2025,10,25,13,14,25,14,827.42692,827.42692,595.061814,711.244367,827.42692,943.609473,1059.792026
2025-10-25 14:00:00,2025,10,25,14,15,25,15,518.729814,518.729814,350.040821,434.385317,518.729814,603.074311,687.418808
2025-10-25 15:00:00,2025,10,25,15,16,25,16,316.334444,316.334444,213.248747,264.791596,316.334444,367.877293,419.420141
2025-10-25 16:00:00,2025,10,25,16,17,25,17,135.129048,135.129048,93.238687,114.183868,135.129048,156.074229,177.019409
2025-10-25 17:00:00,2025,10,25,17,18,25,18,8.561397,8.561397,7.448415,8.004906,8.561397,9.117887,9.674378
2025-10-25 18:00:00,2025,10,25,18,19,25,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25 19:00:00,2025,10,25,19,20,25,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25 20:00:00,2025,10,25,20,21,25,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25 21:00:00,2025,10,25,21,22,25,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25 22:00:00,2025,10,25,22,23,25,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25 23:00:00,2025,10,25,23,0,26,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-26 00:00:00,2025,10,26,0,1,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-26 01:00:00,2025,10,26,1,2,26,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-26 02:00:00,2025,10,26,2,2,26,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-26 02:00:00,2025,10,26,2,3,26,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-26 03:00:00,2025,10,26,3,4,26,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-26 04:00:00,2025,10,26,4,5,26,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-26 05:00:00,2025,10,26,5,6,26,6,0.135356,0.135356,0.089778,0.112567,0.135356,0.158145,0.180933
2025-10-26 06:00:00,2025,10,26,6,7,26,7,2.457779,2.457779,1.628729,2.043254,2.457779,2.872305,3.28683
2025-10-26 07:00:00,2025,10,26,7,8,26,8,15.719011,15.719011,10.405655,13.062333,15.719011,18.375688,21.032366
2025-10-26 08:00:00,2025,10,26,8,9,26,9,21.027059,21.027059,13.904338,17.465699,21.027059,24.58842,28.149781
2025-10-26 09:00:00,2025,10,26,9,10,26,10,28.312216,28.312216,18.699667,23.505942,28.312216,33.11849,37.924764
2025-10-26 10:00:00,2025,10,26,10,11,26,11,29.606318,29.606318,19.531163,24.56874,29.606318,34.643895,39.681473
2025-10-26 11:00:00,2025,10,26,11,12,26,12,48.73529,48.73529,32.111424,40.423357,48.73529,57.047223,65.359156
2025-10-26 12:00:00,2025,10,26,12,13,26,13,33.592927,33.592927,22.109489,27.851208,33.592927,39.334647,45.076366
2025-10-26 13:00:00,2025,10,26,13,14,26,14,18.174917,18.174917,11.947489,15.061203,18.174917,21.288631,24.402344
2025-10-26 14:00:00,2025,10,26,14,15,26,15,15.502012,15.502012,10.177048,12.83953,15.502012,18.164494,20.826977
