,delivery_start_local,delivery_end_local,market_hour,production_kw,energy_kwh,q10,q25,q50,q75,q90,energy_p10_kwh,energy_p90_kwh,forecast_uncertainty,relative_uncertainty
2025-10-24 22:00:00+00:00,2025-10-25 00:00:00+02:00,2025-10-25 01:00:00+02:00,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-24 23:00:00+00:00,2025-10-25 01:00:00+02:00,2025-10-25 02:00:00+02:00,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25 00:00:00+00:00,2025-10-25 02:00:00+02:00,2025-10-25 03:00:00+02:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25 01:00:00+00:00,2025-10-25 03:00:00+02:00,2025-10-25 04:00:00+02:00,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25 02:00:00+00:00,2025-10-25 04:00:00+02:00,2025-10-25 05:00:00+02:00,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25 03:00:00+00:00,2025-10-25 05:00:00+02:00,2025-10-25 06:00:00+02:00,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25 04:00:00+00:00,2025-10-25 06:00:00+02:00,2025-10-25 07:00:00+02:00,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25 05:00:00+00:00,2025-10-25 07:00:00+02:00,2025-10-25 08:00:00+02:00,8,10.75869635940694,10.75869635940694,9.543860228823906,10.151278294115423,10.75869635940694,11.366114424698457,11.973532489989974,9.543860228823906,11.973532489989974,2.4296722611660684,0.22581234451303686
2025-10-25 06:00:00+00:00,2025-10-25 08:00:00+02:00,2025-10-25 09:00:00+02:00,9,205.5833163304706,205.5833163304706,182.104844948011,193.84408063924081,205.5833163304706,217.32255202170043,229.06178771293023,182.104844948011,229.06178771293023,46.95694276491923,0.22840722290039556
2025-10-25 07:00:00+00:00,2025-10-25 09:00:00+02:00,2025-10-25 10:00:00+02:00,10,924.6859922427532,924.6859922427532,817.6632756039867,871.1746339233698,924.6859922427532,978.1973505621363,1031.7087088815197,817.6632756039866,1031.7087088815194,214.045433277533,0.2314787977695925
2025-10-25 08:00:00+00:00,2025-10-25 10:00:00+02:00,2025-10-25 11:00:00+02:00,11,1337.7937439044222,1337.7937439044222,1005.4501365078714,1171.6219402061467,1337.7937439044222,1503.9655476026974,1670.1373513009728,1005.4501365078714,1670.1373513009728,664.6872147931014,0.49685291246785573
2025-10-25 09:00:00+00:00,2025-10-25 11:00:00+02:00,2025-10-25 12:00:00+02:00,12,871.5258039767207,871.5258039767207,619.1746002396619,745.3502021081912,871.5258039767207,997.7014058452501,1123.8770077137794,619.1746002396619,1123.8770077137797,504.70240747411754,0.5791014173875009
2025-10-25 10:00:00+00:00,2025-10-25 12:00:00+02:00,2025-10-25 13:00:00+02:00,13,713.5978025447462,713.5978025447462,500.6265449642171,607.1121737544815,713.5978025447462,820.0834313350107,926.5690601252752,500.6265449642171,926.5690601252752,425.9425151610581,0.5968935396781996
2025-10-25 11:00:00+00:00,2025-10-25 13:00:00+02:00,2025-10-25 14:00:00+02:00,14,886.5380446028132,886.5380446028132,657.1544637411998,771.8462541720065,886.5380446028132,1001.22983503362,1115.9216254644266,657.1544637412,1115.9216254644266,458.76716172322676,0.5174810568312458
2025-10-25 12:00:00+00:00,2025-10-25 14:00:00+02:00,2025-10-25 15:00:00+02:00,15,827.4269196095879,827.4269196095879,595.061813678089,711.2443666438385,827.4269196095879,943.6094725753373,1059.7920255410868,595.0618136780889,1059.7920255410868,464.73021186299775,0.5616564305471771
2025-10-25 13:00:00+00:00,2025-10-25 15:00:00+02:00,2025-10-25 16:00:00+02:00,16,518.7298142114172,518.7298142114172,350.0408207444819,434.38531747794957,518.7298142114172,603.0743109448848,687.4188076783524,350.0408207444819,687.4188076783526,337.37798693387055,0.650391258222741
2025-10-25 14:00:00+00:00,2025-10-25 16:00:00+02:00,2025-10-25 17:00:00+02:00,17,316.3344441466903,316.3344441466903,213.24874727698352,264.7915957118369,316.3344441466903,367.87729258154366,419.42014101639705,213.24874727698352,419.42014101639705,206.17139373941353,0.651749266654445
2025-10-25 15:00:00+00:00,2025-10-25 17:00:00+02:00,2025-10-25 18:00:00+02:00,18,135.12904817658202,135.12904817658202,93.23868702281656,114.1838675996993,135.12904817658202,156.07422875346475,177.0194093303475,93.23868702281655,177.01940933034746,83.78072230753092,0.6200006840673212
2025-10-25 16:00:00+00:00,2025-10-25 18:00:00+02:00,2025-10-25 19:00:00+02:00,19,8.561396634092132,8.561396634092132,7.448415071660155,8.004905852876144,8.561396634092132,9.11788741530812,9.674378196524108,7.448415071660155,9.674378196524108,2.225963124863953,0.25996963466992806
2025-10-25 17:00:00+00:00,2025-10-25 19:00:00+02:00,2025-10-25 20:00:00+02:00,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25 18:00:00+00:00,2025-10-25 20:00:00+02:00,2025-10-25 21:00:00+02:00,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25 19:00:00+00:00,2025-10-25 21:00:00+02:00,2025-10-25 22:00:00+02:00,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25 20:00:00+00:00,2025-10-25 22:00:00+02:00,2025-10-25 23:00:00+02:00,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25 21:00:00+00:00,2025-10-25 23:00:00+02:00,2025-10-26 00:00:00+02:00,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25 22:00:00+00:00,2025-10-26 00:00:00+02:00,2025-10-26 01:00:00+02:00,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25 23:00:00+00:00,2025-10-26 01:00:00+02:00,2025-10-26 02:00:00+02:00,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-26 00:00:00+00:00,2025-10-26 02:00:00+02:00,2025-10-26 02:00:00+01:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-26 01:00:00+00:00,2025-10-26 02:00:00+01:00,2025-10-26 03:00:00+01:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-26 02:00:00+00:00,2025-10-26 03:00:00+01:00,2025-10-26 04:00:00+01:00,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-26 03:00:00+00:00,2025-10-26 04:00:00+01:00,2025-10-26 05:00:00+01:00,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-26 04:00:00+00:00,2025-10-26 05:00:00+01:00,2025-10-26 06:00:00+01:00,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-26 05:00:00+00:00,2025-10-26 06:00:00+01:00,2025-10-26 07:00:00+01:00,7,0.13535575891531654,0.13535575891531654,0.089778134946872,0.11256694693109427,0.13535575891531654,0.15814457089953882,0.18093338288376107,0.089778134946872,0.18093338288376107,0.09115524793688906,0.6685104366842389
2025-10-26 06:00:00+00:00,2025-10-26 07:00:00+01:00,2025-10-26 08:00:00+01:00,8,2.4577793830735652,2.4577793830735652,1.6287289105910272,2.0432541468322962,2.4577793830735652,2.8723046193148343,3.2868298555561033,1.6287289105910272,3.2868298555561033,1.658100944965076,0.6743593818866289
2025-10-26 07:00:00+00:00,2025-10-26 08:00:00+01:00,2025-10-26 09:00:00+01:00,9,15.719010671003321,15.719010671003321,10.405655397691628,13.062333034347475,15.719010671003321,18.375688307659168,21.032365944315014,10.405655397691628,21.03236594431501,10.626710546623386,0.6759989397605888
2025-10-26 08:00:00+00:00,2025-10-26 09:00:00+01:00,2025-10-26 10:00:00+01:00,10,21.027059318107128,21.027059318107128,13.904338110183911,17.465698714145518,21.027059318107128,24.588419922068734,28.149780526030344,13.904338110183913,28.149780526030344,14.245442415846433,0.6774492215541628
2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+01:00,2025-10-26 11:00:00+01:00,11,28.312215657777607,28.312215657777607,18.69966737016998,23.505941513973795,28.312215657777607,33.11848980158142,37.92476394538523,18.69966737016998,37.92476394538523,19.22509657521525,0.679014945090991
2025-10-26 10:00:00+00:00,2025-10-26 11:00:00+01:00,2025-10-26 12:00:00+01:00,12,29.606317778079074,29.606317778079074,19.531162850323007,24.56874031420104,29.606317778079074,34.643895241957104,39.681472705835134,19.531162850323003,39.681472705835134,20.150309855512127,0.6805854554792258
2025-10-26 11:00:00+00:00,2025-10-26 12:00:00+01:00,2025-10-26 13:00:00+01:00,13,48.73529017680196,48.73529017680196,32.1114239234539,40.423357050127926,48.73529017680196,57.04722330347599,65.35915643015002,32.1114239234539,65.35915643015002,33.247732506696124,0.6821966215746506
2025-10-26 12:00:00+00:00,2025-10-26 13:00:00+01:00,2025-10-26 14:00:00+01:00,14,33.592927309648445,33.592927309648445,22.109488744887738,27.851208027268093,33.592927309648445,39.334646592028804,45.076365874409156,22.109488744887738,45.076365874409156,22.966877129521418,0.6836615712663386
