,temperature,ghi,dni,dhi,wind_speed,cloud_cover,humidity
2025-10-24 22:00:00+00:00,10.0,0.0,0.0,0.0,15.1,95.0,94.0
2025-10-24 22:15:00+00:00,9.925,0.0,0.0,0.0,13.225,95.0,94.0
2025-10-24 22:30:00+00:00,9.85,0.0,0.0,0.0,11.35,95.0,94.0
2025-10-24 22:45:00+00:00,9.774999999999999,0.0,0.0,0.0,9.475,95.0,94.0
2025-10-24 23:00:00+00:00,9.7,0.0,0.0,0.0,7.6,0.0,94.0
2025-10-24 23:15:00+00:00,9.399999999999999,0.0,0.0,0.0,7.225,0.0,94.25
2025-10-24 23:30:00+00:00,9.1,0.0,0.0,0.0,6.85,0.0,94.5
2025-10-24 23:45:00+00:00,8.8,0.0,0.0,0.0,6.475,0.0,94.75
2025-10-25 00:00:00+00:00,8.5,0.0,0.0,0.0,6.1,0.0,95.0
2025-10-25 00:15:00+00:00,8.275,0.0,0.0,0.0,5.75,0.0,95.0
2025-10-25 00:30:00+00:00,8.05,0.0,0.0,0.0,5.4,0.0,95.0
2025-10-25 00:45:00+00:00,7.824999999999999,0.0,0.0,0.0,5.05,0.0,95.0
2025-10-25 01:00:00+00:00,7.6,0.0,0.0,0.0,4.7,0.0,95.0
2025-10-25 01:15:00+00:00,7.375,0.0,0.0,0.0,5.15,0.0,95.25
2025-10-25 01:30:00+00:00,7.15,0.0,0.0,0.0,5.6,0.0,95.5
2025-10-25 01:45:00+00:00,6.925,0.0,0.0,0.0,6.05,0.0,95.75
2025-10-25 02:00:00+00:00,6.7,0.0,0.0,0.0,6.5,0.0,96.0
2025-10-25 02:15:00+00:00,6.575,0.0,0.0,0.0,6.4,0.0,96.25
2025-10-25 02:30:00+00:00,6.45,0.0,0.0,0.0,6.3,0.0,96.5
2025-10-25 02:45:00+00:00,6.325,0.0,0.0,0.0,6.199999999999999,0.0,96.75
2025-10-25 03:00:00+00:00,6.2,0.0,0.0,0.0,6.1,85.0,97.0
2025-10-25 03:15:00+00:00,6.175,0.0,0.0,0.0,6.199999999999999,85.0,97.25
2025-10-25 03:30:00+00:00,6.15,0.0,0.0,0.0,6.3,85.0,97.5
2025-10-25 03:45:00+00:00,6.125,0.0,0.0,0.0,6.4,85.0,97.75
2025-10-25 04:00:00+00:00,6.1,0.0,0.0,0.0,6.5,75.0,98.0
